report,relevant,source,authored_at,author,status,incident_title,incident_category,important,place_name,note
At Dome kwabenya some idiots  from NDC tried to steal the ballot boxes but the NPP guys stopped and beat em... http://t.co/5FPpWzX3,Y,Twitter,12/07/12 11:43,RBlackFathers,,,,,,
NDC for organise more people make dem steal the K'si ballot boxes tho. #TeamNDC,Y,Twitter,12/07/12 11:44,Tagorjnr,,,,,,
#peace @Nahdeeya: so in da 3 northern regions both NPP&amp;NDC supporters re jubilating...#onepeople,,Twitter,12/09/12 22:43,MzA_KrueGer,,,,,,
"At UMAR BUN HATAB Islamic School located at Madina Zongo, the voting is going on smoothly. No delay in providing election materials and people are voting in total peace.
Still in Madina, at PRESBY  CHURCH people are exercising their franchise smoothly but there are some agitations here and there because of how people are lined up. I only noticed that a guy being dragged out of the queue but a police man told me it is just a minor misunderstanding.
At  FAITH COMMUNITY BAPTIST SCHOOL, there is a great calm, a total peace. The voting exercise is being smooth. At 8:40, the polling station number C50504 recorded 53 people already voted. I understood that only 257 are registered to cast their vote there meanwhile there was a long queue waiting to cast their vote at the polling station no C50503.
At ZONGO JUNCTION CENTRAL MOSQUE, people are voting in total peace. At this place, I noticed that the polling station occupied one portion of the main road and people queue up on the road. 

In Madina people are exercising their franchise in a great calm.",,Ghana Decides Facebook,12/07/12 11:45,Charles Agbenyo,,,,,,
I find it amusing that Obasanjo is leading the ECOWAS observation group @ the Ghanaian presidential elections today. #ghanadecides,Y,Twitter,12/07/12 11:46,FarahMcQueen,,,,,,
Voters arrest Macho men trying to take ballot boxes in krofrom (kumasi) #ghanadecides,Y,Twitter,12/07/12 11:46,Abumubarik,,,,,,
"'The #EC needs to come out and tell people not to panic"" -Akwetey on late vote starting on #CitiFM #ghanaelections #ghanadecides",Y,Twitter,12/07/12 11:47,IDEGGhana,,,,,,
The Military and the Police have arrested the DCE of Walewale for holding three verification machines.#ghanadecides.,Y,Twitter,12/07/12 12:01,Abumubarik,verified,Walewale DCE arrested,Fraud,,Walewale,"DCE at Walewale has been arrested by the police for possessing three verification machines.
***UPDATE***
Walewale DCE hold up by Police is true. DCE gave a lift to a police woman who was in charge of 3 verification machines and upon arrival at the polling station the people got angry. Both are in the custody of the police. "
at tema comm.4 chemu sec. sch polling station has votef the citizens and no queue up till now #ghanadecides,,Twitter,12/07/12 11:49,dadaba_matic,,,,,,
CODEO Preliminary Statement on Ghana's Presidential and General  Elections #ghanaelections #ghanadecides http://t.co/oyvaybUQ,,Twitter,12/09/12 15:39,IDEGGhana,,,,,,
"JohnDramaniMahama AND THE NDCâ€™S UNACCEPTABLE SYSTEMATIC RIGGING OF ELECTION 2012
 
The NPP has credible evidence, which undermines the integrity of the electoral process and the results officially released to date in respect of the 2012 presidential and parliamentary elections.  

It is obvious from the preponderance of evidence available to us that at all material times the ruling National Democratic Congress led by President JohnDramaniMahama conspired with certain EC staff in constituencies across the country to falsify the election results and thereby abuse the mandate of the people of Ghana. This situation, if allowed to go unchallenged, would seriously damage the essence of the electoral process and largely democracy in Ghana.

Substantial discrepancies have been discovered from results from collation centres when compared with the official tally figures from the EC. Considering the closeness of the polls this error is very significant and goes to the heart of the credibility of the results. Indeed, we have enough concrete evidence to show that the 2012 presidential election was won by our candidate, NanaAkufo-Addo.

It was this planned, systematic stealing of votes at the collation level that was, thankfully, discovered in time at the Dome Kwabenya constituency, where a substantial amount of 15,000 votes was illegally added to the total vote cast in favour of JohnDramaniMahama of the NDC. Also, in Savelugu constituency, JohnDramaniMahama of the NDC received 21,165 votes according to the EC at the collation centre. However in actual fact, 31,165 votes have been falsely declared for him. Like in all the other instances revealing this pattern of fraud, we have the blue sheets to support this blatant act of rape of the democratic mandate of the people of Ghana. The stealing of votes cast in favour of NanaAkufo-Addo is rife with fraudulent irregularities as reflected in results from Yendi constituency where more than ten thousand votes in that instance have been erased.

Unfortunately, the discovery of some of these criminal acts is done only after the collated results are declared at the constituency. We have noticed a pattern of fraud, where substantial numbers of votes are either added to the NDC candidate or subtracted from the NPP presidential candidate. 

What is especially troubling is that the media have been announcing figures from the constituency collation centres that have obviously been tampered with when compared with figures from the tallying sheets (â€˜blue sheetsâ€™) and this is giving a highly misleading picture to the people of Ghana.  For example, Peace FM and Joy FM have both announced 10,000 more votes for JohnDramaniMahama, the NDC Presidential Candidate, than what was declared for him at the Ledzokuku collation centre, giving him 63,210 (60.53%), instead of 53,210. 

This systematic manipulation of the figures across the country casts serious doubt on the credibility of the results. The manipulation has taken place mainly on the collation sheets. We see the tally figures on the â€˜blue sheetsâ€™ in many constituencies do not match the figures on the collation sheet. 

We demand that the EC conducts an audit of the collated figures as well as the counts from the biometric verification machines before the electoral results are finally released. The biometric machines that were reported to be faulty on the first day of voting in the North, miraculously worked perfectly well the next day without them being replaced or repaired.  
 
The No Verification, No Vote, rule was also blatantly defied in several places, especially in the Upper West, Upper East and Volta Regions. In Bawku Central, Nadowli, and Salaga South, for example, high voter turnouts were registered in areas where voting occurred without the use of the verification machine. In North Tongu, for example where there was no verification, the effect of non-verification obvious. JohnDramaniMahama supposedly got 34,162 in North Tongu without verification. This happened with the direct collusion of polling station officers and upwards, after the President personally called for a violation of this rule.

The size of this manipulation has influenced the final outcome. Also consistent with this systematic manipulation is the fact that the total votes cast at the presidential level are far higher than the votes cast for parliamentary candidates and most of the time we have seen this happening, are the very places where we see the collation figures manipulated.

We call upon our party members and the general public to ignore the tainted provisional results announced through the mass media. Indeed, already the election has been called for the NDC candidate by one major media house, Multi Media.  But, there again discrepancies have been detected. For example, for Berekum West, Joy FM gave the NDC presidential candidate 7,750 and the NPP presidential candidate, 10,189. But, the ECâ€™s own results on its website, state 9,091 for the NDC and 6,236 for the NPP. Also in Akwatia, Joy gives the NDC candidate 19,118 and the NPP candidate 20,678. The EC, on the other hand, gives the NDC candidate 18,963 and the NPP candidate 20,506 votes. So, we call on the people of Ghana to remain calm and wait for a proper audit of the results before declaration.

The connivance of EC staff in this electoral fraud is most worrying. For example, in the Yapei/Kusawgu constituency, the presiding officer at the Kakalito polling station recorded zero (0) for our presidential candidate. However upon a recount of the ballots, our candidate got forty-nine (49) votes. 
 
Our Presidential Candidate, NanaAkufo-Addo earlier on raised these serious concerns about the reliability of the election results with the ECOWAS observer mission headed by Gen Obasanjo when they paid a visit to him this morning. 

We respectfully demand the EC not to release any official result until these extremely serious concerns are investigated thoroughly and its findings pronounced.  We also call for an immediate meeting with Chairman of the Electoral Commission. These results cannot be forced down on the people of Ghana as same will be subversive of their constitutional right to determine who leads them.",,Nana Akufo Addo Facebook,12/09/12 15:35,Nana Addo Dankwa Akufo-Addo,,,,,,
Upon all the wayomization #ndc win again??? #OnlyInGhana #ghanaelections #ghanadecides,,Twitter,12/09/12 22:14,mjavada,,,,,,
there is so many northerners in ashanti region #nowadays.... y'all better move to Bole N/R #ASAP,,Twitter,12/09/12 22:47,Dat_Boi_RiCHard,,,,,,
A day like this comes once every four years. You better make the most of it. #ghanadecides #elections #letsvote #ghanaelections,,Twitter,12/07/12 11:51,ClaudeAyitey,,,,,,
"According to reports,  the great hall, one of the main polling station in Tech has a serene ambiance #ghanadecides.",,Twitter,12/07/12 11:52,Abumubarik,,,,,,
Oh! now there wldnt be #CPP candidate in #IEAdebate in 2016 unless participation criteria is changed #ghanaelections2012 #ghanadecides,,Twitter,12/09/12 22:48,thePOEET,,,,,,
[NDC] Supporters should not fall for propaganda of NPP as nothing is going to change  #ghanadecides #ghanaelections,,Twitter,12/09/12 15:41,omgGhanaDotCom,,,,,,
"manchester derby done, politics re-instated..wht are they all sayin @eastsportsman @benkoku @akwasisarpong @ghanadecides #Ghanaelections",,Twitter,12/09/12 15:41,okuapiman,,,,,,
"""RT @MsAngelaK: Don't panic or fret if there are delays in the election process. The EC is working on things."" #ghanadecides #ghanaelections",,Twitter,12/07/12 11:57,ClaudeAyitey,,,,,,
We in NDC will not take the law into our hands even if NPP through their task into the streets  #ghanadecides #ghanaelections,,Twitter,12/09/12 15:42,bigxghdotcom,,,,,,
"1157hrs, and I'm still lying in my bed tweeting. I better go and vote. #offthis #ghanadecides #ghanaelections",,Twitter,12/07/12 11:58,ClaudeAyitey,,,,,,
All Ghana have won- President Elect JohnDramaniMahama #ghanadecides #ghanaelections,,Twitter,12/09/12 22:51,omgGhanaDotCom,,,,,,
Lets refrain from any act that will disturb the peace of this country - Prez elect JohnDramaniMahama #ghanadecides #ghanaelections,,Twitter,12/09/12 22:52,bigxghdotcom,,,,,,
jxt casted ma vote. Afta seeing an ndc kild for stealn the ballot box .,Y,Twitter,12/07/12 12:02,tweneboah_20,,,,,,
@BBCAfrica #BBCFocusOnAfrica We have come a long way. We are the model so far. I know it will remain same. #ghanadecides #elections #ghana,,Twitter,12/07/12 12:02,AverageGhanaian,,,,,,
Ghana is voting today. The whole place is crowded with people. Some people trying to steal ballot boxes. OMG,Y,Twitter,12/07/12 12:05,Dorcytaiw,,,,,,
there norr boys start dey give false info about stealing of ballot boxes in kumasi eeii,Y,Twitter,12/07/12 12:05,two_js_,,,,,,
"""@tony_mensah: http://t.co/qgSp9zxx"" #ghanadecides #ghanaelections",,Twitter,12/07/12 12:05,ClaudeAyitey,,,,,,
Conversation concerning the elections ongoing on Google+ and Twitter. search for #ghanadecides #myvoicegh #letsvote,,Twitter,12/07/12 12:06,iamrobotboy,,,,,,
I just heard Otumfuo just voted. I wonder who he voted for. *smiling in my head* #ghanadecides #elections #letsvote,,Twitter,12/07/12 12:06,ClaudeAyitey,,,,,,
Nobody should be scared because NDC in government is capable of protecting citizens safety  #ghanadecides #ghanaelections,,Twitter,12/09/12 15:45,healmev,,,,,,
"""@Abynaa_Serwaa: So the NDC have decided to steal ballot boxes at our strongholds?""",Y,Twitter,12/07/12 12:12,CHaSE_BlaQBWoy,ignored,Aledged ballot box snatching,Ballot Snatching,yes,,Final Update: Lost informant to confirm incident. Message is too old to verify.
RT @tweneboah_20: jxt casted ma vote. Afta seeing an ndc kild for stealn the ballot box .,Y,Twitter,12/07/12 12:27,kay_dae23,ignored,Violence,Violence,yes,,
ur palito no dey job better RT @two_js_: there norr boys start dey give false info about stealing of ballot boxes in kumasi eeii,Y,Twitter,12/07/12 12:07,mr_fii,,,,,,
@BBCAfrica @akwasisarpong I'm not surprised you are RTing this. All you want the world to know is bad news!!! #ghanadecides #elections,,Twitter,12/07/12 12:08,ClaudeAyitey,,,,yes,,
We are not responding to NPP's news conference #ghanadecides #ghanaelections,,Twitter,12/09/12 15:45,bigxghdotcom,,,,,,
"""RT @ghanaelections: Otumfour Osei Tutu Votes"" #ghanadecides #elections #ghanaelections",,Twitter,12/07/12 12:08,AverageGhanaian,,,,,,
who did the voice over on the verification machine. voice is soo sexy!.. going about saying REJECTED and VERIFIED. #ghanadecides #letsvote,,Twitter,12/07/12 12:09,iamrobotboy,,,,,,
Eii #Ghana have we become an #NDC nation once again #ghanadecides #ghanaelectoralcommission #ghanadecides,,Twitter,12/09/12 15:46,IamMarfiosoYYZ,,,,,,
"Our only response to NPP is that, ""if they find anything wrong, they know what to do"" - Gen Mosquito #ghanadecides #ghanaelections",,Twitter,12/09/12 15:47,omgGhanaDotCom,,,,,,
In #Ghana only John's rule the land and Nana's rule the village. #ghanaelections #ghanaelectoralcommission #ghanadecides,,Twitter,12/09/12 15:48,IamMarfiosoYYZ,,,,,,
Cantonment Post office polling station recording incredible low voter turn out. #ghanadecides,Y,Twitter,12/07/12 12:16,Abumubarik,,,,,,
@iq4news: opinions shows that this year's election has been calm in the central region. #ghanadecides,,Twitter,12/07/12 12:17,kofiemeritus,,,,,,
@newsontv3 I'm sure Ayariga voted for @JohnDramaniMahama #ghanadecides #ghanaelections #elections,,Twitter,12/07/12 12:22,ClaudeAyitey,,,,,,
ei what is dis i am hearin abt macho men stealin ballot boxes. Ei ns3m pii. Ghana police chaaaarge.,Y,Twitter,12/07/12 12:23,miz_lomo,,,,,,
We believe that the results will be transparent - Gen Mosquito #ghanadecides #ghanaelections,,Twitter,12/09/12 15:51,Enock4seth,,,,,,
NdC strong holds â€œ@HibaAmbaBrown: Some polling stations haven't yet gotten their election materialsâ€,Y,Twitter,12/07/12 12:27,edembill,ignored,No materials,Delayed Logistics,yes,,Final Update: Lost informant to confirm incident. Message is too old to verify.
"#ultipolls NDC MP for Komenda,Mr. James Annan causes arrest of PNC polling agent,accusing him of collecting voter ID cards from voters.",Y,Twitter,12/07/12 12:43,rainwalt92,ignored,party agent arrest,Party Thugs,no,Komenda,Final Update: Lost informant to confirm incident. Message is too old to verify.
people stealing ballot boxes already??...smh #GhanaDecides,Y,Twitter,12/07/12 12:28,karl_eshGL,,,,,,
"""RT @JesseOguns: Keep being awesome for awesome sake, the world is watching."" Thanks #ghanadecides #ghanaelections #elections",,Twitter,12/07/12 12:29,ClaudeAyitey,,,,,,
"Delays and time efficiency, outstanding issues from #IDEG-CFI Regional situation rooms #ESRGhana #ghanaelections #ghanadecides",Y,Twitter,12/07/12 12:32,IDEGGhana,,,,,,
"I just heard some politician say the queue is too tall. Hmmm, bl3 #ghanadecides #ghanaelections",,Twitter,12/07/12 12:34,ClaudeAyitey,,,,,,
"""Vigilance and trying to understand how our institutions work is imperative today."" -Akwetey on #TV3 #ghanadecides #ghanaelections",,Twitter,12/07/12 12:34,IDEGGhana,,,,,,
The reports are NOT true ..... well so says @Citi973  RT @karl_eshGL: people stealing ballot boxes already??...smh #GhanaDecides,Y,Twitter,12/07/12 12:34,Colonel_AlYad,,,,,,
PNC candidate Hassan Ayariga has voted and is monitoring the on-going national elections in the Upper East Region  #ghanadecides,,Twitter,12/07/12 12:38,Abumubarik,,,,,,
"Ayariga says by God's grace, he will win the elections 'one touch' and ""Ayarigate' the 'whole place'. #ghanadecides",,Twitter,12/07/12 12:38,Abumubarik,,,,,,
Smooth voting #Ketasco #ghanadecides #ghanaelections #letsvote,,Twitter,12/07/12 12:39,Enock4seth,,,,,,
@BBCAfrica we have proved it once again  #ghanadecides #ghanaelections #letsvote,,Twitter,12/07/12 12:40,Enock4seth,,,,,,
Few people in the queue now @ Ketasco  #ghanadecides #ghanaelections #letsvote,,Twitter,12/07/12 12:41,Enock4seth,,,,,,
"we can't stand in this sun for u NDC ""fools"" to come n steal de ballot boxes..MMT!!!!!",Y,Twitter,12/07/12 12:41,OTUMFOUR_III,,,,,,
#GargantuanPeace RT @Enock4seth: @BBCAfrica we have proved it once again  #ghanadecides #ghanaelections #letsvote,,Twitter,12/07/12 12:41,ihatevista,,,,,,
"Not all #NDC peeps steal ballot boxes,not all!",Y,Twitter,12/07/12 12:41,Fufu_and_Pizza,,,,,,
"Relax bruh...""@OTUMFOUR_III: we can't stand in this sun for u NDC ""fools"" to come n steal de ballot boxes..MMT!!!!!""",Y,Twitter,12/07/12 12:46,KBDanquah,,,,,,
"""@KBDanquah: Relax bruh...""@OTUMFOUR_III: we can't stand in this sun for u NDC ""fools"" to come n steal de ballot boxes..MMT!!!!!""""",,Twitter,12/07/12 12:47,Trineefa,,,,,,
At this stage the vast majority of CODEOs 4000 observers have access to polling stations and are reporting with ease #ghanadecides #CODEO,,Twitter,12/07/12 12:47,CodeoElections,,,,,,
We are making it slowly..#ghanadecides #ghanaelections #letsvote,,Twitter,12/07/12 12:53,Enock4seth,,,,,,
Disturbances in #Ablekuma West Constituency #ghanaelections #ghanadecides,Y,Twitter,12/07/12 12:55,IDEGGhana,,,,,,
Up early wishing and sending my beloved country #ghana as they go to d polls today... #ghanadecides #Ghanaelections ..God bless us all,,Twitter,12/07/12 13:02,deycalmePAPI,,,,,,
somebody dies in the course of jubilation in the eastern region,,Twitter,12/09/12 23:02,virginculture,,,,,,
RT @ghanaelections: the unthinkable happened-EC officer arrested for failing to stamp ballot papers - Ashanti region #ghanaelections @VO ...,Y,Twitter,12/07/12 13:24,Kwatontoh,fresh,Fraud,Fraud,yes,AshantiRegion,unverified
"""RT @ghanaelections: Prez JohnDramaniMahama casts his vote @ Bole-Bamboi @joyonlineghana  #ghanaelections"" #ghanadecides",,Twitter,12/07/12 13:06,ClaudeAyitey,,,,,,
It is now official... NDC has won the 2012 presidential elections in Ghana. @ghanaelections @AfricaJerry,,Twitter,12/09/12 21:53,Ghana125,,,,,,
Ghana! voting materials could reach their regions &amp; districts (i.e. police stations) within 48 &amp; 24 hours respectively b4 election day why.,,Twitter,12/07/12 13:08,ryzbrian,,,,,,
Am neither here nor there..... #ghanadecides #ghanaelections,,Twitter,12/07/12 13:12,Nii_logoligi,,,,,,
#ghanadecides #ghanaelections RT @mey3_ewuraba: took me less than 5mins.... No place lyk Tema,,Twitter,12/07/12 13:14,Nii_logoligi,,,,,,
John john john john. In the history of ghana's democracy you got to be john to win elections. #ghanadecides,,Twitter,12/09/12 21:59,NYARS15,,,,,,
Vote selling is booming business is booming #ghanaelections #ghanadecides,,Twitter,12/07/12 13:15,Nii_logoligi,,,,,,
"call the police on 191, for Tigo 0277522288 or MTN n Vodafone 18555 if there is a problem at your polling station #ghanadecides",,Twitter,12/07/12 13:18,kwahmi,,,,,,
"A-Life polling station in Asafo Kumasi, attempt of ballot box snatching...security are on the alert #ghanadecides",Y,Twitter,12/07/12 13:20,omgGhanaDotCom,,,,,,
All decision be decision! All election be election #ghanadecides #ghanaelections,,Twitter,12/07/12 13:20,Nii_logoligi,,,,,,
"#ghanadecides RT @biggdarko: even among his relatives,#Ayariga z nt da person they wanna c win da elections",,Twitter,12/07/12 13:21,Nii_logoligi,,,,,,
"call the police on 191, for Tigo 0277522288 or MTN n Vodafone 18555 if there is a problem at your polling station #ghanadecidesâ€",,Twitter,12/07/12 13:21,kenygene,,,,,,
the unthinkable happened-EC officer arrested for failing to stamp ballot papers - Ashanti region #ghanaelections @VOAAfrica @joyonlineghana,Y,Twitter,12/07/12 13:22,ghanaelections,,,,,,
Its been sooooooo easy voting at ma polling station. I encourage all u lovely  n intelligent buddies to do same. PEACE#ghanadecides,,Twitter,12/07/12 13:23,PaulinTim400,,,,,,
"The presiding EO @ e Tema West Mangoase area, has been accused of telling electorates the candidate he wants them to vote for #ghanadecides",Y,Twitter,12/07/12 13:23,Abumubarik,,,,,,
